Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"ALPHAGAN P 0,15 %, collyre en solution",brimonidine (tartrate),, ,,,"Cette spécialité ne contient pas le même conservateur que la spécialité disponible en France dans le cadre d'une AMM (ALPHAGAN 0,2%, collyre).",ALLERGAN FRANCE
"BROLENE 0,10%, collyre en solution",propamidine (iséthionate),, ,,, ,AVENTIS PHARMA LIMITED
"CYSTADROPS 0,55%, collyre en solution",cystéamine chlorhydrate,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Orphan Europe (tel : 01 47 73 94 61).,ORPHAN EUROPE
"GS 101  0,86 mg/ml, collyre en solution, en récipient unidose",aganirsen,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible auprès du laboratoire Stragen (04 82 53 75 82).,STRAGEN
"NATACYN 5%, collyre en suspension",natamycine,, ,,, ,ALCON LABORATORIES INC.
"PREDFORTE 1 %, collyre en suspension",prednisolone (acétate),, ,,, ,ALLERGAN PHARMACEUTICALS IRELAND
"RESTASIS 0,05%, collyre en solution",ciclosporine,, ,,, ,ALLERGAN
"LEUKINE 250 µg/ml, poudre pour solution injectable",sargramostim,, ,,, ,GENZYME CORPORATION
"MEPOLIZUMAB 100 mg, poudre pour solution injectable",mépolizumab,,03/03/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en décembre 2015 sous la dénomination NUCALA.,GLAXOSMITHKLINE
"UPTRAVI 1400 µg, comprimé pelliculé",selexipag,,19/09/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2016.,ACTELION PHARMACEUTICALS FRANCE
"UPTRAVI 1600 µg, comprimé pelliculé",selexipag,,19/09/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2016.,ACTELION PHARMACEUTICALS FRANCE
"UPTRAVI 200 µg, comprimé pelliculé",selexipag,,19/09/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2016.,ACTELION PHARMACEUTICALS FRANCE
"UPTRAVI 400 µg, comprimé pelliculé",selexipag,,19/09/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2016.,ACTELION PHARMACEUTICALS FRANCE
"UPTRAVI 800 µg, comprimé pelliculé",selexipag,,19/09/2016,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2016.,ACTELION PHARMACEUTICALS FRANCE
"EMSAM 12 mg/24 h, dispositif transdermique",selegiline,, ,,, ,MYLAN
"EMSAM 6 mg/24h, dispositif transdermique",selegiline,, ,,, ,MYLAN
"EMSAM 9 mg/24h, dispositif transdermique",selegiline,, ,,, ,MYLAN
"MARPLAN 10 mg, comprimé",isocarboxazide,, ,,, ,VALIDUS PHARMACEUTICALS LLC
"NARDELZINE 15 mg, comprimé",phénelzine (sulfate),, ,,, ,PFIZER
"NARDIL 15 mg, comprimé",phénelzine,, ,,, ,PFIZER
"TRANYLCYPROMINE 10 mg, comprimé",tranylcypromine,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"TRITTICO 50 mg, orale",trazodone (hydrochloride),, ,,, ,VIFOR
"ZELDOX 20 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER PHARMA GMBH
"ZELDOX 40  mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER PHARMA GMBH
"ZELDOX 60 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"DOTA-NOC 50 µg, poudre pour solution injectable",DOTA-[Nal3]-octreotide,, ,,, ,IASON LABORMEDEZIN GMBH
"DOTA-TOC 50 microgramme, solution injectable",edotreotide,, ,,, ,IASON LABORMEDEZIN GMBH
"LUTATHERA 7,4 GBq / flacon, solution injectable", 177Lu-DOTA0-Tyr3-Octréotate,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Advanced Accelerator Applications (Tel : 04 50 99 30 70).,ADVANCED ACCELERATOR APPLICATIONS
"PSMA-11, 10 µG, POUDRE POUR SOLUTION INJECTABLE 10 µg, poudre pour solution injectable",DKFZ-PSMA-11 (ou PSMAHBED-CC),, ,,, ,IASON LABORMEDEZIN GMBH
"DESURIC 100 mg, comprimé sécable",benzbromarone,, ,,, ,PROSTRAKAN PHARMA BV
"KRYSTEXXA 8 mg, poudre pour solution injectable",pegloticase,, ,,, ,SAVIENT PHARMACEUTICALS INC
"MYOCRISIN  20 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"MYOCRISIN 100 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"ELMIRON 100 mg, gélule",pentosan (polysulfate),, ,,, ,ARTHROPHARM PTY LTD
"MYOCHOLINE 10 mg, comprimé",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"MYOCHOLINE 25 mg, comprimé sécable",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"PMS-OXYBUTYNIN 1 mg/ml, sirop",chlorhydrate d'oxybutynine,, ,,, ,PHARMASCIENCE INC.
"POTABA 3 g, poudre pour suspension buvable",potassium (paraaminobenzoate),, ,,, ,CHEPLAPHARM ARZNEIMITTEL GMBH
"POTABA 500 mg, gélule",potassium (paraaminobenzoate),, ,,, ,CHEPLAPHARM ARZNEIMITTEL GMBH
"RIMSO-50 50% p/p, solution pour administration intravésicale",diméthylsulfoxyde,, ,,, ,BIONICHE PHARMA GROUP LIMITED
"VAXIGRIP HS, suspension injectable","Vaccin grippal (inactivé, à virion fragmenté)",, ,,, ,SANOFI PASTEUR
"ARIKAYCE 70 mg/ml, suspension pour inhalation par nébuliseur",amikacine liposomale,, ,,, ,INSMED INCORPORATED
"BOTULISM ANTITOXIN BEHRING, solution pour perfusion","antitoxines botuliques de type A, B et E",, ,,, ,NOVARTIS VACCINES AND DIAGNOSTICS GMBH & CO. KG
"CEFTAZIDIME AVIBACTAM 2g/0,5g, poudre pour solution pour perfusion",ceftazidime avibactam,,,,, ,ASTRA ZENECA
"CYCLOSERINE 250 mg, gélule",cyclosérine,, ,,, ,KING PHARMACEUTICALS LTD
"DIPHTERIA ANTITOXIN (EQUINE) 1000 IU/ml, solution injectable",immunoglobuline équine antidiphtérique,, ,,, ,INTERVAX
"FURADANTIN OU NITROFURANTOINE 5 mg/ml, solution buvable",nitrofurantoïne,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"HUMATIN 250 mg, gélule",paromomycine (sulfate),, ,,, ,PFIZER PHARMA GMBH
"IMPAVIDO 50 mg, gélule",miltéfosine,, ,,, ,PAESEL & LOREI GMBH & CO
"BMS663068 600 mg, comprimé",fostemsavir,, ,,, ,VIIV HEALTHCARE SAS
"CIDOFOVIR 75 mg/ml, solution injectable",cidofovir,, ,,, ,EMCURE PHARMACEUTICALS LTD
"CMX 001 10 mg/ml, suspension buvable",brincidofovir,, ,,, ,CHIMERIX
"CMX 001 100 mg, comprimé",brincidofovir,, ,,, ,CHIMERIX
"CYTOTECT CP BIOTEST 100 U/ml, solution pour perfusion",Immunoglobulines humaines anti-CMV,, ,,, ,BIOTEST PHARMA GMBH
"GRAZOPREVIR/ELBASVIR 100 mg/50 mg, comprimé pelliculé",grazoprévir/elbasvir,,,,, ,MERCK SHARP & DOHME - CHIBRET
"VARITECT CP 25 UI/ml, solution injectable",immunoglobuline humaine VZV,, ,,, ,BIOTEST PHARMA GMBH
"NERVIFENE 100 mg/ml, solution buvable",chloral (hydrate),, ,,,,INTERDELTA SA
"MARINOL 2,5 mg, capsule molle",dronabinol,, ,,,,ABBVIE INC
"MEPHENON 10mg/1ml, solution injectable",méthadone (chlorhydrate de),, ,,,,LABORATOIRES STEROP
"NEURONTIN 250 mg/ 5ml, solution buvable",gabapentine,, ,,,,PFIZER INC
"NOLOTIL 2 g/5 ml, solution injectable",métamizole magnésium,, ,,,,BOEHRINGER INGELHEIM
"ZOSTRIX 0,033%, crème",capsaïcine,, ,,,,AKORN CONSUMMER HEALTH
"ZOSTRIX 0,1%, crème",capsaïcine,, ,,,,AKORN CONSUMMER HEALTH
"ZOSTRIX HP 0,075%, crème",capsaïcine,, ,,,,HEALTH CARE PRODUCTS
"ARIKAYCE 70 mg/ml, suspension pour inhalation par nébuliseur",amikacine liposomale,, ,,,,INSMED INCORPORATED
"CYCLOSERINE 250 mg, gélule",cyclosérine,, ,,,,KING PHARMACEUTICALS LTD
"FURADANTIN OU NITROFURANTOINE 5 mg/ml, solution buvable",nitrofurantoïne,, ,,,,GOLDSHIELD PHARMACEUTICALS LTD
"PDP-ISONIAZID 10 mg/ml, solution buvable",isoniazide,, ,,,,PENDOPHARM
"ZITHROMAX 500 mg, poudre pour solution pour perfusion",azithromycine dihydraté,, ,,,,PFIZER INC
"ANTICHOLIUM 2 mg/5 ml, solution injectable",physostigmine (salicylate),, ,,,,LABORATOIRE KOHLER CHEMIE
"ABT-414 20 mg, poudre pour solution à diluer pour perfusion",dépatuxizumab mafodotine,, ,,,,ABBVIE
"APALUTAMIDE 60 MG, comprimé pelliculé",apalutamide,, ,,,,JANSSEN-CILAG
"BINIMETINIB 15 mg, comprimé pelliculé",binimetinib,, ,,,,PIERRE FABRE MEDICAMENT
"BRIGATINIB 180 mg, comprimé pelliculé", brigatinib,, ,,,,TAKEDA FRANCE
"BRIGATINIB 30 mg, comprimé pelliculé",brigatinib,, ,,,,TAKEDA FRANCE
"CEENU 10 mg, gélule",lomustine-CCNU,, ,,,,BRISTOL-MYERS SQUIBB CANADA
"CRIZOTINIB PFIZER NOURRISSONS ET ENFANTS 25 mg/ml, solution buvable",crizotinib,, ,,,,PFIZER
"ENCORAFENIB 50 MG, gélule",encorafenib,, ,,,,PIERRE FABRE MEDICAMENT
"ENCORAFENIB 75 MG, gélule",encorafenib,, ,,,,PIERRE FABRE MEDICAMENT
"IMFINZI 50MG/ML, solution à diluer pour perfusion",durvalumab,, ,,,,ASTRA ZENECA
"LORLATINIB 100 mg, comprimé",lorlatinib,, ,,,,PFIZER
"LORLATINIB 25 mg, comprimé",lorlatinib,, ,,,,PFIZER
"LORLATINIB 50 mg, comprimé",lorlatinib,, ,,,,PFIZER
"LOXO-292 20 mg, gélule",/,, ,,,,"LOXO ONCOLOGY, INC"
"LOXO-292 80 mg, gélule",/,, ,,,,"LOXO ONCOLOGY, INC"
"PAZOPANIB 50 mg/ml, solution buvable",pazopanib,, ,,,,NOVARTIS PHARMA SERVICES AG
"PM01183 4 mg, poudre pour solution pour perfusion",lurbinectedin,, ,,,,PHARMA MAR S.A
"QARZIBA 4,5 mg/ml, solution à diluer pour perfusion",dinutuximab beta,, ,,,,EUSA PHARMA
"REGN2810 50 mg/ml, solution pour perfusion",CEMIPLIMAB,, ,,,,SANOFI AVENTIS
"RUCAPARIB 120 mg, comprimé",rucaparib,, ,,,,"CLOVIS ONCOLOGY, INC"
"TALAZOPARIB 1 mg, gélule",talazoparib,, ,,,,PFIZER
"TIPIFARNIB 300 mg, comprimé",tipifarnib,, ,,,,"KURA ONCOLOGY, INC"
"VISTOGARD, granulés",uridine triacetate,, ,,,,WELLSTAT THERAPEUTICS
"ZEJULA 100 mg, gélule",niraparib,,19/03/2018,,,,TESARO BIO
"CUSTODIOL, solution pour perfusion",solution de cardioplégie à base de sodium et de potassium,, ,,,,LABORATOIRE KOHLER CHEMIE
"DEMSER 250 mg, gélule",métyrosine,, ,,,,ATON PHARMA
"DOPS OD 100 mg, comprimé orodispersible",droxidopa,, ,,,,SUMITOMO PHARMACEUTICAL CO LTD
"DOPS OD, comprimé orodispersible",droxidopa,, ,,,,SUMITOMO PHARMACEUTICAL CO LTD
"ETIDRONATE 200 mg, comprimé",étidronate,, ,,,,MYLAN
"ETIDRONATE 400 mg, comprimé",étidronate,, ,,,,MYLAN
"MARCOUMAR 3 mg, comprimé sécable",phenprocoumone,, ,,,,HOFFMANN-LA-ROCHE SA
"NATRIUMTHIOSULFAT 10 %, solution injectable",thiosulfate de sodium,, ,,,,LABORATOIRE INRESA
"NATRIUMTHIOSULFAT 25 %, solution injectable",thiosulfate de sodium,, ,,,,LABORATOIRE INRESA
"NIFEDIPINE RATIOPHARM 20 mg/ml, solution buvable en gouttes",nifédipine,, ,,,,RATIOPHARM GMHB
"NIMOTOP 30 mg/ 0,75 ml, solution buvable en gouttes",nimodipine,, ,,,,BAYER SPA
"NITROPRUSSIAT FIDES 50 mg/5mL, solution injectable",nitroprussiate de sodium,, ,,,,KOMTUR PHARMACEUTICALS
"PICIBANIL 1KE, poudre pour solution injectable",streptocoques pyogènes inactivés,, ,,,,CHUGAI PHARMA FRANCE
"PROPRANOLOL ROSEMONT 10 mg/5 ml, solution buvable",propranolol,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"PROPRANOLOL ROSEMONT 5 mg/5 ml, solution buvable",propranolol,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"PROPRANOLOL ROSEMONT 50 mg/5 ml, solution buvable",propranolol,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"WARFARIN SODIUM 1 mg/ml, suspension buvable",warfarine sodique,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"IMMUSEVEN 600 UI, poudre et solvant pour solution injectable",facteur VII de coagulation humain,, ,,,,SHIRE FRANCE
"ANTIVIPMYN TRI, solution injectable",Immunoglobulines équines,, ,,,,INSTITUTO BIOCLON S.A. DE C.V.
"ATGAM 50 mg/ml, solution injectable",immunoglobuline équine anti-thymocytes humains,, ,,,,PFIZER
"BOTHROFAV 10 ml, solution pour perfusion",fragments F(ab')2 d'immunoglobulines T antivenin d’origine équine,, ,,,,MICROPHARMA LTD
"FAVIREPT, solution injectable","fragments f(ab')2 d'immunoglobuline equine antivenimeuse de Bitis, Echis, Naja, Cerastes et Macrovip",, ,,,,PASTEUR MERIEUX SERUM & VACCINS
"HAEMATE P 1000 IU, poudre et solvant pour solution injectable",1000 IU de FVIII / 2400 IU de VWF,, ,,,,CSL BEHRING GMBH
"INOSERP PAN-AFRICA  500 mg/vial, solution injectable",fragments F(ab')2 d'immunoglobulines antivenin ,, ,,,,INOSAN BIOPHARMA S.A.
"KEDRION HUMAN PLASMINOGEN 1 mg/ml, collyre en solution",plasminogène humain,, ,,,,KEDRION S.P.A.
"SCORPIFAV 1 ml, solution pour perfusion",fragments F(ab’)2 immunoglobulines équines,, ,,,,MICROPHARMA LTD
"BIOBAG, sachet",larves de Lucilia sericata,, ,,,,BIOMONDE GMBH
"BYL719 200 mg, comprimé pelliculé",BYL719,, ,,,,NOVARTIS PHARMA S.A.S.
"BYL719 50 mg, comprimé pelliculé",BYL719,, ,,,,NOVARTIS PHARMA S.A.S.
"DAPSONE 50 mg, comprimé",dapsone,, ,,,,ACTAVIS LTD
"DUPILUMAB 150 mg/ml, solution injectable",dupilumab,,23/01/2018,,,,SANOFI AVENTIS
"SULFAMYLON 5%, poudre pour solution pour application cutanée",mafénide (acetate),, ,,,,MYLAN INSTITUTIONAL LLC
"SULFAMYLON 85 mg, crème",mafénide (acetate),, ,,,,MYLAN INSTITUTIONAL LLC
"TREMFYA 100 mg, solution injectable",guselkumab,,10/02/2018,,,,JANSSEN-CILAG
"ZYFLO 600 mg, comprimé pelliculé",zyleuton,, ,,,,CORNERSTONE THERAPEUTICS INC.
"ZYFLO CR 600 mg, comprimé à libération prolongée",zileuton,, ,,,,CORNERSTONE THERAPEUTICS INC.
"GLIBENTEK 0.6 mg/ml, solution buvable",glibenclamide,, ,,,,UNITHER DEVELOPPEMENT BORDEAUX
"GLIBENTEK 6 mg/ml, solution buvable",glibenclamide,, ,,,,UNITHER DEVELOPPEMENT BORDEAUX
"HUMULIN REGULAR 500 UI/ml, suspension injectable",insuline,, ,,,,ELI LILLY INTERNATIONAL  LILLY CORPORATE
"IRENAT 300 mg/ml, solution buvable en gouttes",perchlorate de sodium,, ,,,,ALLIANCE PHARMACEUTICALS
"LODOSYN 25 mg, comprimé",carbidopa,, ,,,,ATON PHARMA
"METRELEPTINE 11,3 mg, poudre pour solution injectable",métréleptine,, ,,,,"AEGERION PHARMACEUTICALS, INC."
"OXANDROLONE 10 mg, comprimés", oxandrolone,, ,,,,AMERICAN HEALTH PACKAGING
"OXANDROLONE 2,5 mg, comprimé",oxandrolone,, ,,,,AMERICAN HEALTH PACKAGING
"PROGLYCEM 50 mg/ml, suspension buvable",diazoxide,, ,,,,TEVA GLOBAL
"AMMONUL 10%/10%, poudre et solvant pour solution injectable",sodium (benzoate) et sodium (phénylacétate),, ,,,,VALEANT PHARMACEUTICALS NORTH AMERICA LLC
"DODECAVIT 5 mg/ml, solution injectable",hydroxocobalamine (acétate),, ,,,,SERB
"NORMIX 2g/100 ml, granulés pour solution buvable",rifaximine,, ,,,,ALFA WASSERMANN
"SECRELUX 100 U, poudre et solvant pour solution injectable",secrétine,, ,,,,SANOCHEMIA DIAGNOSTICS GERMANY GMBH
"URSOFALK 50 mg/ml, suspension buvable",ursodésoxycholique (acide),, ,,,,DR FALK PHARMA GMBH
"VITAMINE E 100 mg/ml, suspension buvable",alpha-tocophérol (acétate),, ,,,,ALLIANCE PHARMACEUTICALS
"ADAGEN 250 U/ml, solution injectable",pégademase bovine,, ,,,,LEADIANT BIOSCIENCES LTD.
"CABLIVI 10 mg, poudre et solvant pour solution injectable",caplacizumab,, ,,,,ABLYNX N.V.
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",alemtuzumab,, ,,,,GENZYME S.A.S
"DAUNOXOME  2 mg/ml, dispersion liposomale à diluer injectable", daunorubicine,, ,,,,GALEN LIMITED
"DEXSOL 2mg/5ml, solution buvable",dexaméthasone (phosphate),, ,,,,ROSEMONT PHARMACEUTICALS LTD
"EMICIZUMAB  150 mg/ml, solution injectable",emicizumab,,04/06/2018,,,,ROCHE
"ENDARI 5 g, poudre orale",L-glutamine,, ,,,,EMMAUS MEDICAL (MYTOMORROWS)
"GRASPA, suspension injectable",L-ASPARAGINASE ENCAPSULÉE,, ,,,,ERYTECH PHARMA
"IDHIFA 100 mg, comprimé",enasidenib,, ,,,,CELGENE FRANCE
"IDHIFA 50 mg, comprimé",enasidenib,, ,,,,CELGENE FRANCE
"ISTODAX 10 mg, poudre pour solution pour perfusion",romidepsin,, ,,,,CELGENE FRANCE
"IVOSIDENIB  250 mg, comprimé",ivosidenib,, ,,,,AGIOS PHARMACEUTICAL INC
"MARQIBO KIT, solution pour perfusion",vincristine liposomale,, ,,,,TALON THERAPEUTICS
"MIDOSTAURINE 25 mg/ml, suspension buvable",midostaurine,, ,,,,NOVARTIS PHARMA S.A.S.
"MYLOTARG 5 mg, poudre pour solution pour perfusion",gemtuzumab ozogamicin,,,,,,PFIZER
"OMACETAXINE MEPESUCCINATE 3,5 mg, poudre pour solution injectable",omacétaxine mépésuccinate (homoharringtonine),, ,,,,STRAGEN
"VALCHLOR, gel pour application cutanée",chlorméthine ou méchloréthamine,, ,,,,ACTELION PHARMACEUTICALS FRANCE
"VORAXAZE 1000 UI, poudre pour solution pour perfusion",carboxypeptidase  G2,, ,,,,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"VYXEOS, solution liposomale pour perfusion",daunorubicine + cytarabine,, ,,,,JAZZ PHARMACEUTICALS
"ZOLINZA 100 mg, gélule",vorinostat,, ,,,,MERCK SHARP & DOHME - CHIBRET
"CYTOTECT CP BIOTEST 100 U/ml, solution pour perfusion",Immunoglobulines humaines anti-CMV,, ,,,,BIOTEST PHARMA GMBH
"VARITECT CP 25 UI/ml, solution injectable",immunoglobuline humaine VZV,, ,,,,BIOTEST PHARMA GMBH
"BAT, solution à diluer pour perfusion","Botulism Antitoxin Heptavalent (A, B, C, D, E, F, G)-(Equine)",, ,,,,CANGENE CORPORATION
"CABOTEGRAVIR 30 mg, comprimé",cabotegravir,, ,,,,VIIV HEALTHCARE
"CABOTEGRAVIR 400 mg/2 ml, suspension injectable",cabotegravir,, ,,,,VIIV HEALTHCARE
"MARIBAVIR 200 mg, comprimé",maribavir,, ,,,,SHIRE FRANCE
"BUROSUMAB 10 mg, solution injectable",Burosumab,, ,,,,KYOWA KIRIN PHARMA S.A.S.
"KRN 23 30 mg, solution injectable",BUROSUMAB,, ,,,,KYOWA KIRIN PHARMA S.A.S.
"LAMAZYM 10 mg, poudre pour solution pour perfusion",velmanase alfa,, ,,,,CHIESI SA
"L-ARGININ-HYDROCHLORID B BRAUN  21%, solution à diluer pour perfusion",arginine (chlorhydrate),, ,,,,B BRAUN
"PHOSPHATE SANDOZ 500 mg, comprimé effervescent",phosphate disodique anhydre,, ,,,,HK PHARMA LTD
"PREFOLIC 15 mg, comprimé gastro-résistant",5 méthyl-tétrahydrofolate,, ,,,,ZAMBON ITALIA SRL
"PROHIPPUR 750 mg/g, granules",benzoate de sodium,, ,,,,LUCANE PHARMA
"SAMYR 200 mg, comprimé gastro-résistant",ademetionine,, ,,,,ABBOTT ITALIA
"SOLFA 50 mg, comprimé",amlexanox,, ,,,,TAKEDA FRANCE
"SUCRAID 8500 UI/ml, solution buvable",sacrosidase,, ,,,,QOL MEDICAL
"TRIENTINE DICHLORHYDRATE 300 mg, gélule",trientine (dichlorhydrate),, ,,,,UNIVAR LTD
"UX003  2 mg/ml, solution pour perfusion",rh-beta glucuronidase,, ,,,,ULTRAGENYX PHARMACEUTICAL INC
"UX007, solution buvable",triheptanoin,, ,,,,ULTRAGENYX PHARMACEUTICAL INC
"ELMISOL 10 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"ELMISOL 25 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"ELMISOL 5 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"ELMISOL 50 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"INDOCIN 25 mg/5 ml, suspension buvable",indométacine,, ,,,,IROKO
"INDO-PAED 25 mg/5 ml, suspension buvable",indométacine,, ,,,,1 A PHARMA
"UROCIT-K 10 meq (1080 mg), comprimé",potassium (citrate),, ,,,,MISSION PHARMACAL
"UROCIT-K 5 meq (540 mg), comprimé",potassium (citrate de),, ,,,,MISSION PHARMACAL
"AMANTADINE HYDROCHLORIDE 50 mg/5 ml, sirop",amantadine,, ,,,,AUDEN MCKENZIE (PHARMA DIVISION) LTD
"ATTENTIN 5 mg, comprimé",dexamphétamine,, ,,,,H.A.C. PHARMA
"BELLAFIT 0,5 mg/ml, solution buvable en gouttes",atropine (sulfate),, ,,,,G. STREULI AND CIE. SA
"DIBRO-BE MONO 850 mg, comprimé sécable",potassium (bromure),, ,,,,DIBROPHARM ARZNEIMITTEL
"EDROPHONIUM INJECTION BP 10mg/1ml, solution injectable",édrophonium (chlorure),, ,,,,CAMBRIDGE LABORATORIES LIMITED
"ENLON, solution injectable",édrophonium (chlorure),, ,,,,MYLAN INSTITUTIONAL LLC
"EPANUTIN 30 mg/5 ml, suspension buvable",phénytoïne,, ,,,,PFIZER PGM
"EPHEDRINE HYDROCHLORIDE  15 mg, comprimé",éphédrine (chlorhydrate),, ,,,,WOCKHARDT UK LTD
"EPIDIOLEX 100 mg/ml, solution orale",cannabidiol,, ,,,,GW PHARMACEUTICALS
"GUTRON 10 mg/ml, solution buvable en gouttes",midodrine,, ,,,,NYCOMED
"KEVEYIS 50 mg, comprimé",dichlorphenamide,, ,,,,TARO PHARMACEUTICAL
"LIORESAL 5mg/5ml, solution buvable",baclofène,, ,,,,NOVARTIS PHARMACEUTICALS UK LTD
"LORAZEPAM 4 mg/ml, solution injectable",lorazepam,, ,,,,WEST-WARD PHARMACEUTICALS
"MESTINON  60 mg/5 ml, sirop",pyridostigmine (bromure),, ,,,,VALEANT PHARMACEUTICALS NORTH AMERICA
"MNESIS 45 mg, comprimé",idébénone,, ,,,,TAKEDA ITALIA FARMACEUTICAL
"NEOSTIGMINE BROMIDE 15 mg, comprimé",néostigmine (bromure),, ,,,,ALLIANCE PHARMACEUTICALS
"NEOTON 1 g, poudre et solvant pour solution injectable",créatine phosphate,, ,,,,SEARLE FARMACEUTICI
"OLESOXIME 100 mg/ml, poudre pour suspension buvable",olesoxime,, ,,,,ROCHE
"OSPOLOT 200 mg, comprimé sécable",sultiame,, ,,,,LABORATOIRES INRESA
"OSPOLOT 50 mg, comprimé",sultiame,, ,,,,LABORATOIRES INRESA
"PATISIRAN 2 mg/ml, solution pour perfusion",patisiran,, ,,,,ALNYLAM PHARMACEUTICALS
"PETINIMID 250 mg, gélule",éthosuximide,, ,,,,ORION PHARMA AG
"PRIDOPIDINE 45 mg, comprimé",pridopidine,, ,,,,NEUROSEARCH
"QIZENDAY 100 mg, gélule",biotine,, ,,,,BLUE-REG PHARMA CONSULT
"RADICUT 30 mg/100 ml, solution pour perfusion",edaravone,, ,,,,MT PHARMA AMERICA
"SALBUMOL 2 mg, comprimé",salbutamol,, ,,,,GLAXOSMITHKLINE FRANCE
"STRATTERA 10 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 18 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 25 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 40 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 60 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"TRAZOLAN 100 mg, comprimé pelliculé",trazodone (chlorhydrate),, ,,,,CONTINENTAL PHARMA INC.
"UBICOR 50 mg/10 ml, poudre et solvant pour suspension buvabie",ubidécarénone,, ,,,,MAGIS FARMACEUTICI SPA
"UBITEN 10 mg, comprimé",ubidécarénone,, ,,,,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg, gélule",ubidécarénone,, ,,,,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg/10 ml, solution buvable",ubidécarénone,, ,,,,ITALFARMACO SPA
"VENTOLIN 2 mg/5 ml, sirop",salbutamol,, ,,,,GLAXOSMITHKLINE
"ALPHAGAN P 0,15 %, collyre en solution",brimonidine (tartrate),, ,,,,ALLERGAN FRANCE
"BROLENE 0,10%, collyre en solution",propamidine (iséthionate),, ,,,,AVENTIS PHARMA LIMITED
"GS 101  0,86 mg/ml, collyre en solution, en récipient unidose",aganirsen,, ,,,,STRAGEN
"NATACYN 5%, collyre en suspension",natamycine,, ,,,,NOVARTIS PHARMA S.A.S.
"PREDFORTE 1 %, collyre en suspension",prednisolone (acétate),, ,,,,ALLERGAN PHARMACEUTICALS IRELAND
"RESTASIS 0,05%, collyre en solution",ciclosporine,, ,,,,ALLERGAN
"ALINIA 100 mg/5 ml, suspension buvable",nitazoxanide,, ,,,,ROMARK PHARMACEUTICALS
"ALINIA 500 mg, comprimé",nitazoxanide,, ,,,,ROMARK PHARMACEUTICALS
"HUMATIN 125 mg, solution buvable",paromomycine (sulfate),, ,,,,PFIZER PHARMA GMBH
"HUMATIN 250 mg, gélule",paromomycine (sulfate),, ,,,,PFIZER PHARMA GMBH
"IMPAVIDO 10 mg, gélule",miltéfosine,, ,,,,PAESEL & LOREI GMBH & CO
"IMPAVIDO 50 mg, gélule",miltéfosine,, ,,,,PAESEL & LOREI GMBH & CO
"LAFEPE BENZNIDAZOL 100 mg, comprimé",benznidazole,, ,,,,LABORATOIRE LAFEPE
"LAMPIT 120 mg, comprimé",nifurtimox,, ,,,,BAYER HEALTHCARE PHARMA
